person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,loan_status
24,30000,MORTGAGE,0,DEBTCONSOLIDATION,6000,13.57,0.2,2,0
26,30000,MORTGAGE,0,VENTURE,3500,8,0.12,4,0
22,30000,MORTGAGE,4,EDUCATION,5000,11.89,0.17,4,1
21,30000,MORTGAGE,0,PERSONAL,4750,9.63,0.16,2,1
22,37080,RENT,6,PERSONAL,2400,10.65,0.06,3,1
23,30000,MORTGAGE,0,MEDICAL,8000,,0.27,3,1
24,54000,RENT,3,MEDICAL,2400,13.49,0.04,4,1
26,54000,RENT,2,HOMEIMPROVEMENT,2400,14.09,0.04,2,1
25,87999,RENT,5,PERSONAL,2400,14.79,0.03,4,1
26,16000,RENT,1,VENTURE,2450,,0.15,2,1
21,10800,RENT,4,PERSONAL,2500,8.88,0.23,2,1
21,12000,RENT,,MEDICAL,2500,11.99,0.21,4,1
21,12540,RENT,,HOMEIMPROVEMENT,2500,7.88,0.2,2,1
24,12600,RENT,2,VENTURE,2500,13.11,0.2,2,1
24,31000,RENT,8,VENTURE,13500,13.43,0.44,4,1
21,38000,RENT,5,EDUCATION,13500,9.91,0.36,3,1
22,43000,RENT,6,PERSONAL,13500,10.95,0.31,3,1
22,30288,OWN,0,EDUCATION,5000,19.47,0.17,3,1
23,35000,RENT,6,DEBTCONSOLIDATION,13475,10.65,0.39,3,1
23,30652,MORTGAGE,4,DEBTCONSOLIDATION,6000,14.54,0.2,2,1
23,29000,RENT,1,VENTURE,13475,14.26,0.46,4,1
23,29000,RENT,4,MEDICAL,13450,12.61,0.46,3,1
24,35000,RENT,8,MEDICAL,13400,,0.38,3,1
26,38000,RENT,3,EDUCATION,13400,9.99,0.35,2,1
22,50000,RENT,0,DEBTCONSOLIDATION,13350,14.59,0.27,2,1
24,33000,RENT,2,DEBTCONSOLIDATION,13300,7.66,0.4,4,1
24,39875,RENT,7,PERSONAL,13300,16,0.33,4,1
25,24000,RENT,3,VENTURE,13250,10.37,0.55,2,1
22,30000,RENT,4,DEBTCONSOLIDATION,13250,16.4,0.44,3,1
22,33300,RENT,0,DEBTCONSOLIDATION,13250,,0.4,4,1
26,37500,RENT,6,DEBTCONSOLIDATION,13250,13.49,0.35,3,1
23,38400,RENT,1,VENTURE,13250,10.99,0.35,4,1
26,40000,RENT,3,PERSONAL,13250,11.71,0.33,2,1
25,40000,RENT,9,PERSONAL,13250,,0.33,3,1
26,35000,RENT,5,VENTURE,13225,13.49,0.38,3,1
22,40000,RENT,6,PERSONAL,13225,16.77,0.33,2,1
22,31500,RENT,5,EDUCATION,13200,11.71,0.42,4,1
26,31000,MORTGAGE,9,HOMEIMPROVEMENT,15000,7.9,0.48,4,1
26,54000,RENT,0,PERSONAL,13200,14.91,0.24,2,1
21,24000,RENT,2,VENTURE,13000,15.7,0.54,3,1
21,24000,RENT,5,DEBTCONSOLIDATION,13000,12.87,0.54,2,1
24,31000,MORTGAGE,8,PERSONAL,9000,14.84,0.29,4,1
26,28000,RENT,10,MEDICAL,13000,16.29,0.46,3,1
25,28000,RENT,10,PERSONAL,13000,7.9,0.46,3,1
26,28800,RENT,0,HOMEIMPROVEMENT,13000,14.46,0.45,2,1
25,31000,MORTGAGE,2,PERSONAL,12250,11.36,0.4,3,1
22,30000,RENT,2,VENTURE,13000,13.11,0.43,3,1
21,31200,RENT,0,EDUCATION,13000,13.11,0.42,2,1
26,33800,RENT,4,EDUCATION,13000,13.57,0.38,4,1
26,34000,RENT,2,MEDICAL,13000,9.63,0.38,2,1
25,35000,RENT,5,MEDICAL,13000,13.22,0.37,2,1
24,36000,RENT,8,EDUCATION,13000,17.27,0.36,4,1
24,36000,RENT,7,DEBTCONSOLIDATION,13000,7.29,0.36,3,1
23,30000,RENT,4,DEBTCONSOLIDATION,13000,13.57,0.43,2,1
22,36000,RENT,6,DEBTCONSOLIDATION,13000,11.14,0.36,4,1
24,37000,RENT,3,EDUCATION,13000,10.25,0.35,4,1
23,38000,RENT,4,EDUCATION,13000,,0.34,4,1
23,38400,RENT,5,EDUCATION,13000,11.71,0.34,3,1
25,38400,RENT,0,DEBTCONSOLIDATION,13000,10.74,0.34,3,1
22,39000,RENT,5,DEBTCONSOLIDATION,13000,11.83,0.33,4,1
25,40000,RENT,9,PERSONAL,13000,10.99,0.33,3,1
22,32213,MORTGAGE,3,MEDICAL,8000,13.47,0.25,4,1
23,26000,RENT,1,PERSONAL,4000,12.87,0.15,3,1
24,26400,RENT,3,DEBTCONSOLIDATION,4000,,0.15,3,1
23,26400,RENT,8,EDUCATION,4000,14.17,0.15,2,1
21,27000,RENT,5,MEDICAL,4000,15.58,0.15,2,1
22,30000,RENT,0,VENTURE,4000,15.21,0.13,2,1
26,32400,MORTGAGE,10,MEDICAL,10000,,0.31,4,1
26,30000,RENT,1,PERSONAL,4000,11.83,0.13,4,1
25,30900,RENT,1,VENTURE,4000,12.61,0.13,3,1
21,32400,MORTGAGE,3,PERSONAL,1750,13.61,0.05,4,1
24,32000,RENT,2,HOMEIMPROVEMENT,4000,17.93,0.13,3,1
23,32993,RENT,6,MEDICAL,4000,11.71,0.12,4,1
22,32484,MORTGAGE,6,HOMEIMPROVEMENT,6250,7.51,0.19,4,1
26,32496,MORTGAGE,8,DEBTCONSOLIDATION,4200,16.02,0.13,3,1
22,32644,MORTGAGE,6,VENTURE,13750,16.45,0.42,4,1
20,32652,MORTGAGE,0,PERSONAL,6000,14.61,0.18,4,1
25,29000,RENT,1,HOMEIMPROVEMENT,4000,14.54,0.14,3,1
21,29000,RENT,0,EDUCATION,4000,14.83,0.14,4,1
22,29000,RENT,5,EDUCATION,4000,15.33,0.14,4,1
24,29000,RENT,1,MEDICAL,4000,9.96,0.14,3,1
26,30000,RENT,3,MEDICAL,4000,14.27,0.13,2,1
22,30000,RENT,1,EDUCATION,4000,14.96,0.13,2,1
22,32400,RENT,4,VENTURE,4000,,0.12,2,1
26,33000,MORTGAGE,0,HOMEIMPROVEMENT,9000,13.72,0.27,2,1
25,34000,RENT,,HOMEIMPROVEMENT,4000,,0.12,2,1
21,33000,MORTGAGE,2,HOMEIMPROVEMENT,3250,7.14,0.1,3,1
23,35000,RENT,2,HOMEIMPROVEMENT,4000,12.18,0.11,4,1
24,35200,RENT,1,MEDICAL,4000,16,0.11,3,1
26,33000,MORTGAGE,1,DEBTCONSOLIDATION,12000,10.91,0.36,3,1
21,36000,RENT,5,HOMEIMPROVEMENT,4000,12.99,0.11,4,1
23,36000,RENT,7,MEDICAL,4000,10.99,0.11,4,1
25,33168,MORTGAGE,9,PERSONAL,6000,15.96,0.18,4,1
26,33192,MORTGAGE,,PERSONAL,3000,12.69,0.09,4,1
26,36000,RENT,2,PERSONAL,4000,14.54,0.11,2,1
26,39600,RENT,3,EDUCATION,4000,5.79,0.1,4,1
22,41000,RENT,7,PERSONAL,4000,7.51,0.1,3,1
25,41000,RENT,1,PERSONAL,4000,14.84,0.1,4,1
24,42000,RENT,8,HOMEIMPROVEMENT,4000,11.86,0.1,2,1
24,42000,RENT,2,HOMEIMPROVEMENT,4000,12.73,0.1,3,1
26,33660,MORTGAGE,0,DEBTCONSOLIDATION,4500,5.99,0.13,2,1
24,44000,RENT,1,DEBTCONSOLIDATION,4000,17.58,0.09,2,1
22,44582,RENT,6,HOMEIMPROVEMENT,4000,5.99,0.09,4,1
24,45000,RENT,0,DEBTCONSOLIDATION,4000,15.99,0.09,4,1
23,45630,RENT,0,DEBTCONSOLIDATION,4000,19.29,0.09,3,1
25,46392,RENT,9,DEBTCONSOLIDATION,4000,16.32,0.09,3,1
23,48000,RENT,8,PERSONAL,4000,10.37,0.08,3,1
26,52800,RENT,4,PERSONAL,4000,9.99,0.08,3,1
26,54000,RENT,0,MEDICAL,4000,13.47,0.07,2,1
24,56400,RENT,0,EDUCATION,4000,14.75,0.07,2,1
23,61000,RENT,2,DEBTCONSOLIDATION,4000,16,0.07,4,1
22,63000,RENT,6,HOMEIMPROVEMENT,4000,11.12,0.06,2,1
23,63996,RENT,2,HOMEIMPROVEMENT,4000,,0.06,2,1
23,34000,MORTGAGE,3,VENTURE,12000,14.27,0.35,4,1
22,34000,MORTGAGE,6,MEDICAL,4500,11.71,0.13,2,1
26,34000,MORTGAGE,5,EDUCATION,5500,10.65,0.16,3,1
23,88000,RENT,4,HOMEIMPROVEMENT,4000,7.14,0.05,4,1
26,34000,MORTGAGE,3,MEDICAL,4000,17.58,0.12,3,1
24,118068,RENT,0,DEBTCONSOLIDATION,4000,10.51,0.03,3,1
26,158000,RENT,0,HOMEIMPROVEMENT,4000,14.84,0.03,3,1
24,15000,RENT,8,DEBTCONSOLIDATION,4200,13.11,0.28,2,1
24,16000,RENT,2,DEBTCONSOLIDATION,4200,,0.26,4,1
21,19000,RENT,2,HOMEIMPROVEMENT,4200,,0.22,2,1
22,22560,RENT,3,PERSONAL,4200,15.2,0.19,4,1
24,26000,RENT,0,PERSONAL,4200,16,0.16,2,1
22,28080,RENT,,MEDICAL,4200,9.91,0.15,4,1
26,30000,RENT,1,EDUCATION,4200,16.49,0.14,3,1
25,12000,RENT,3,DEBTCONSOLIDATION,4350,12.98,0.36,4,1
24,14400,RENT,0,DEBTCONSOLIDATION,4375,,0.3,2,1
26,15000,RENT,0,DEBTCONSOLIDATION,4375,12.69,0.29,4,1
24,16800,RENT,,DEBTCONSOLIDATION,4375,9.99,0.26,2,1
24,22044,RENT,3,HOMEIMPROVEMENT,4375,16.4,0.2,3,1
22,14400,RENT,0,HOMEIMPROVEMENT,4400,19.91,0.31,4,1
22,19200,RENT,6,PERSONAL,4400,11.49,0.23,2,1
22,34000,MORTGAGE,6,VENTURE,15000,15.99,0.44,2,1
23,43000,RENT,7,MEDICAL,4400,11.99,0.1,4,1
24,49000,RENT,8,DEBTCONSOLIDATION,4400,16.77,0.09,3,1
22,14400,RENT,0,EDUCATION,4500,7.88,0.31,4,1
25,40000,MORTGAGE,9,DEBTCONSOLIDATION,3500,13.49,0.09,3,0
24,40000,MORTGAGE,3,VENTURE,3200,10.99,0.08,2,0
23,15600,RENT,1,VENTURE,4500,5.99,0.29,4,1
25,15600,RENT,3,PERSONAL,4500,7.51,0.29,3,1
22,40000,MORTGAGE,3,DEBTCONSOLIDATION,7500,11.49,0.19,3,0
24,40000,OWN,6,EDUCATION,2800,8.49,0.07,4,0
25,17600,RENT,,PERSONAL,4500,13.99,0.26,2,1
25,40000,OWN,0,MEDICAL,11000,8.49,0.28,2,0
23,18000,RENT,,VENTURE,4500,7.49,0.25,4,1
24,40000,MORTGAGE,5,HOMEIMPROVEMENT,15000,7.49,0.38,2,0
24,40000,MORTGAGE,5,DEBTCONSOLIDATION,3000,11.99,0.07,4,0
23,40000,MORTGAGE,6,MEDICAL,13200,,0.33,4,0
23,40000,MORTGAGE,2,MEDICAL,2000,10.99,0.05,4,0
21,18000,RENT,2,PERSONAL,4500,10.38,0.25,2,1
24,40000,MORTGAGE,2,HOMEIMPROVEMENT,2500,9.99,0.06,2,0
23,18000,RENT,0,DEBTCONSOLIDATION,4500,12.21,0.25,3,1
24,18200,RENT,8,EDUCATION,4500,8.94,0.25,2,1
24,40000,MORTGAGE,6,DEBTCONSOLIDATION,10000,5.79,0.25,4,0
25,18204,RENT,0,EDUCATION,4500,13.61,0.25,2,1
26,40000,OWN,0,MEDICAL,4300,10.74,0.11,2,0
21,20000,RENT,5,PERSONAL,4500,13.49,0.23,2,0
24,40000,MORTGAGE,9,MEDICAL,2125,11.11,0.05,4,0
21,20004,RENT,4,MEDICAL,4500,8,0.22,2,0
21,20400,RENT,2,PERSONAL,4500,10.99,0.22,2,0
25,21000,RENT,0,DEBTCONSOLIDATION,4500,9.62,0.21,4,0
25,21000,RENT,2,EDUCATION,4500,16.45,0.21,4,1
22,40000,MORTGAGE,7,PERSONAL,10850,7.66,0.27,4,0
23,21600,RENT,1,EDUCATION,4500,15.65,0.21,2,1
23,23421,RENT,3,MEDICAL,4500,17.99,0.19,3,1
23,34000,MORTGAGE,0,EDUCATION,4000,14.17,0.12,2,1
23,40000,MORTGAGE,6,PERSONAL,7200,11.11,0.18,2,0
21,23916,RENT,2,EDUCATION,4500,9.62,0.19,4,0
26,24000,RENT,10,MEDICAL,4500,12.42,0.19,4,0
24,40000,MORTGAGE,6,DEBTCONSOLIDATION,5000,11.11,0.13,2,0
26,24000,RENT,5,VENTURE,4500,5.79,0.19,3,0
22,24000,RENT,0,EDUCATION,4500,11.49,0.19,2,0
25,40000,MORTGAGE,1,HOMEIMPROVEMENT,4000,7.29,0.1,2,0
22,24500,RENT,3,DEBTCONSOLIDATION,4500,8.94,0.18,2,0
23,25596,RENT,2,MEDICAL,4500,9.99,0.18,4,0
23,26000,RENT,3,MEDICAL,4500,8.49,0.17,2,1
25,30996,RENT,9,VENTURE,4500,6.92,0.15,3,0
24,32000,RENT,,MEDICAL,4500,7.29,0.14,4,0
23,32400,RENT,4,EDUCATION,4500,7.49,0.14,4,0
22,40000,MORTGAGE,1,EDUCATION,4800,5.42,0.12,2,0
22,33000,RENT,2,PERSONAL,4500,7.88,0.14,3,0
23,33000,RENT,1,DEBTCONSOLIDATION,4500,15.05,0.14,4,1
21,40000,MORTGAGE,3,DEBTCONSOLIDATION,8000,6.92,0.2,4,0
22,35000,RENT,2,VENTURE,4500,14.27,0.13,2,0
23,35000,RENT,5,PERSONAL,4500,10.59,0.13,2,0
24,35000,RENT,1,MEDICAL,4500,12.87,0.13,3,0
22,40000,MORTGAGE,5,MEDICAL,8000,10.74,0.2,3,0
23,40000,MORTGAGE,7,VENTURE,14000,,0.35,3,0
21,36000,RENT,0,EDUCATION,4500,6.62,0.13,2,0
26,40000,MORTGAGE,5,MEDICAL,16000,,0.4,3,0
26,34000,MORTGAGE,4,PERSONAL,12250,6.91,0.36,4,1
22,36000,RENT,5,EDUCATION,4500,6.17,0.13,3,0
24,36000,RENT,5,VENTURE,4500,7.14,0.13,4,0
22,40000,OWN,5,MEDICAL,6000,9.25,0.15,3,0
22,37342,RENT,3,VENTURE,4500,11.03,0.12,2,0
23,40000,MORTGAGE,2,MEDICAL,7000,8.88,0.17,3,0
24,37500,RENT,0,PERSONAL,4500,5.42,0.12,4,0
24,40000,OWN,0,PERSONAL,6900,6.91,0.17,3,0
22,32000,RENT,5,MEDICAL,4500,9.63,0.14,2,1
24,38000,RENT,8,MEDICAL,4500,10.83,0.12,2,0
23,38004,RENT,2,EDUCATION,4500,7.88,0.12,2,0
24,34000,MORTGAGE,1,DEBTCONSOLIDATION,7000,14.09,0.21,2,1
24,39000,RENT,2,VENTURE,4500,10.99,0.12,4,0
22,39996,RENT,2,EDUCATION,4500,13.43,0.11,4,0
22,40000,RENT,6,EDUCATION,4500,7.66,0.11,3,0
26,40000,RENT,0,MEDICAL,4500,7.74,0.11,2,0
25,40000,OWN,3,EDUCATION,12000,14.83,0.3,4,0
24,40000,RENT,8,MEDICAL,4500,12.84,0.11,3,0
22,40000,MORTGAGE,6,VENTURE,4000,10.36,0.1,4,0
24,34068,RENT,2,EDUCATION,4500,14.84,0.13,3,1
23,41000,RENT,6,PERSONAL,4500,12.99,0.11,4,0
25,40000,MORTGAGE,6,MEDICAL,5000,12.61,0.13,4,0
21,36000,RENT,1,VENTURE,4500,17.27,0.13,2,1
24,40000,MORTGAGE,4,MEDICAL,3500,8.88,0.09,2,0
26,40000,MORTGAGE,10,HOMEIMPROVEMENT,5300,5.42,0.13,2,0
21,42000,RENT,4,DEBTCONSOLIDATION,4500,6.03,0.11,4,0
22,42000,RENT,2,DEBTCONSOLIDATION,4500,11.49,0.11,4,0
21,40000,MORTGAGE,3,DEBTCONSOLIDATION,6000,5.79,0.15,3,0
26,42000,RENT,3,PERSONAL,4500,7.66,0.11,2,0
25,43500,RENT,0,MEDICAL,4500,6.76,0.1,2,0
25,43738,RENT,0,DEBTCONSOLIDATION,4500,5.99,0.1,3,0
26,44004,RENT,2,MEDICAL,4500,7.74,0.1,3,0
23,45000,RENT,0,VENTURE,4500,9.25,0.1,4,0
21,41000,RENT,2,DEBTCONSOLIDATION,4500,13.49,0.11,3,1
22,40000,MORTGAGE,6,PERSONAL,4800,,0.12,2,0
26,48000,RENT,10,DEBTCONSOLIDATION,4500,11.11,0.09,4,0
23,48500,RENT,0,DEBTCONSOLIDATION,4500,12.21,0.09,4,0
22,44000,RENT,,PERSONAL,4500,14.46,0.1,2,1
22,44000,RENT,3,PERSONAL,4500,5.79,0.1,3,1
21,40000,MORTGAGE,3,MEDICAL,2500,6.76,0.06,4,0
24,40000,OWN,6,VENTURE,1000,6.76,0.03,3,0
23,52800,RENT,3,EDUCATION,4500,6.76,0.09,4,0
24,54100,RENT,5,PERSONAL,4500,7.14,0.08,4,0
26,40000,OWN,0,HOMEIMPROVEMENT,10000,11.86,0.25,4,0
22,48300,RENT,0,HOMEIMPROVEMENT,4500,9.76,0.09,2,1
22,34000,MORTGAGE,4,PERSONAL,7750,15.21,0.23,2,1
26,54396,RENT,10,MEDICAL,4500,,0.08,3,0
23,40000,MORTGAGE,1,PERSONAL,4000,7.14,0.1,3,0
24,40000,OWN,4,PERSONAL,2000,14.35,0.05,2,0
24,55000,RENT,2,DEBTCONSOLIDATION,4500,7.9,0.08,2,0
23,55000,RENT,4,VENTURE,4500,8.49,0.08,3,0
22,55000,RENT,4,DEBTCONSOLIDATION,4500,6.76,0.08,4,0
24,40000,MORTGAGE,2,VENTURE,15250,13.98,0.38,2,0
24,40000,MORTGAGE,5,VENTURE,8000,,0.2,4,0
26,58947,RENT,10,MEDICAL,4500,6.03,0.08,2,0
23,59000,RENT,3,MEDICAL,4500,12.68,0.08,3,0
25,40000,OWN,0,EDUCATION,8000,10.38,0.2,4,0
23,54000,RENT,5,HOMEIMPROVEMENT,4500,8.49,0.08,2,1
23,54000,RENT,7,EDUCATION,4500,,0.08,2,1
23,62000,RENT,7,VENTURE,4500,12.42,0.07,2,0
22,40000,MORTGAGE,2,PERSONAL,8100,7.14,0.2,3,0
25,60000,RENT,9,HOMEIMPROVEMENT,4500,10.99,0.07,2,1
23,40000,MORTGAGE,,EDUCATION,4000,6.39,0.1,3,0
24,74000,RENT,0,PERSONAL,4500,12.18,0.06,4,0
25,78996,RENT,9,EDUCATION,4500,8.63,0.06,2,0
25,80000,RENT,8,VENTURE,4500,13.06,0.06,2,0
25,82560,RENT,6,DEBTCONSOLIDATION,4500,7.42,0.05,3,0
25,84000,RENT,0,HOMEIMPROVEMENT,4500,12.18,0.05,2,0
24,86854,RENT,8,VENTURE,4500,,0.05,4,0
24,40000,MORTGAGE,3,VENTURE,10500,11.36,0.26,4,0
24,40000,MORTGAGE,8,PERSONAL,10000,9.88,0.25,2,0
21,40000,OWN,6,VENTURE,5600,10.25,0.14,3,0
25,138000,RENT,1,EDUCATION,4500,13.43,0.03,3,0
23,20664,RENT,4,EDUCATION,4550,13.72,0.22,3,0
21,34000,MORTGAGE,5,EDUCATION,10000,10.62,0.29,2,1
22,29976,RENT,6,DEBTCONSOLIDATION,4550,12.84,0.15,3,0
23,42000,RENT,2,EDUCATION,4550,15.23,0.11,4,0
26,130000,RENT,0,HOMEIMPROVEMENT,4550,13.57,0.04,2,0
21,24000,RENT,0,EDUCATION,4600,13.99,0.19,2,0
23,27864,RENT,0,MEDICAL,4600,6.03,0.17,3,0
26,40000,MORTGAGE,5,MEDICAL,6000,10.62,0.15,4,0
21,28416,RENT,6,PERSONAL,4600,,0.16,2,0
24,30000,RENT,0,MEDICAL,4600,,0.15,2,0
22,40000,MORTGAGE,6,VENTURE,4750,,0.12,2,0
23,33000,RENT,0,EDUCATION,4600,11.71,0.14,3,0
23,40000,RENT,1,VENTURE,4600,10.59,0.12,3,0
25,40000,MORTGAGE,8,DEBTCONSOLIDATION,10000,7.14,0.25,4,0
23,46500,RENT,3,EDUCATION,4600,,0.1,4,0
21,40000,MORTGAGE,5,MEDICAL,9000,7.51,0.23,4,0
25,40000,MORTGAGE,2,DEBTCONSOLIDATION,4750,,0.12,3,0
26,44000,RENT,5,DEBTCONSOLIDATION,4600,13.99,0.1,4,1
21,51996,RENT,5,PERSONAL,4600,8.59,0.09,2,0
21,40000,MORTGAGE,5,EDUCATION,8000,,0.2,3,0
23,52000,RENT,5,PERSONAL,4600,14.96,0.09,2,1
26,52800,RENT,3,DEBTCONSOLIDATION,4600,15.62,0.09,4,1
24,40000,MORTGAGE,8,DEBTCONSOLIDATION,4000,7.14,0.1,4,0
23,40000,MORTGAGE,3,EDUCATION,12000,9.88,0.3,2,0
25,34000,MORTGAGE,2,HOMEIMPROVEMENT,5800,13.48,0.17,3,1
22,40000,MORTGAGE,0,EDUCATION,4000,12.73,0.1,2,0
24,73000,RENT,2,MEDICAL,4600,9.99,0.06,2,0
24,100000,RENT,1,EDUCATION,4600,8.49,0.05,2,0
22,40000,OWN,0,VENTURE,6400,14.22,0.16,2,0
24,22392,RENT,,MEDICAL,4650,9.99,0.21,4,0
24,40000,MORTGAGE,8,DEBTCONSOLIDATION,15000,9.88,0.38,2,0
24,40000,MORTGAGE,2,VENTURE,10000,11.83,0.25,3,0
21,31970,RENT,2,VENTURE,4650,9.32,0.15,2,0
22,48000,RENT,2,MEDICAL,4650,10.99,0.1,4,0
24,31776,RENT,6,VENTURE,4700,8.94,0.15,3,0
25,40000,RENT,0,MEDICAL,4700,12.09,0.12,3,0
24,40000,OWN,1,HOMEIMPROVEMENT,9000,8.94,0.23,3,0
23,41000,RENT,7,PERSONAL,4700,7.9,0.11,2,0
26,40000,MORTGAGE,3,VENTURE,1750,11.83,0.04,4,0
24,45000,RENT,2,DEBTCONSOLIDATION,4700,10.96,0.1,2,0
26,19800,RENT,0,MEDICAL,4725,11.22,0.24,3,1
26,27600,RENT,0,MEDICAL,4725,6.54,0.17,2,0
